term,language,sightings,offense_level
Honyaks(plural ofHonyak),English,3 sightings(Recent),-
Honyock(variant ofHunyak),English,9 sightings,Highly offensive
Honyocks(plural ofHonyock),English,-,-
Hoorah Henries(plural ofHoorah Henry),English,2 sightings,-
Hoorah Henrietta(variant ofHooray Henrietta),English,1 sighting,-
Hoorah Henriettas(plural ofHoorah Henrietta),English,-,-
Hoorah Henry(variant ofHooray Henry),English,32 sightings(Recent),-
Hooray Henries(plural ofHooray Henry),English,61 sightings(Recent),Mildly offensive
Hooray Henrietta,English,31 sightings(Recent),-
Hooray Henriettas(plural ofHooray Henrietta),English,6 sightings,-
Hooray Henry,English,446 sightings(Recent),Mildly offensive
Hun,English,-,Highly offensive
Hunkie(variant ofHunky),English,-,Highly offensive
Hunkies(plural ofHunkie),English,65 sightings(Recent),-
Hunky,English,-,Highly offensive
Huns(plural ofHun),English,-,-
Hunyak,English,45 sightings,Highly offensive
Hunyaks(plural ofHunyak),English,4 sightings,-
Hunyock(variant ofHunyak),English,2 sightings,Extremely offensive
Hunyocks(plural ofHunyock),English,1 sighting,-
JAFA,English,-,-
JAFAs(plural ofJAFA),English,-,-
Jap,English,257 sightings(Recent),Moderately offensive
Japland(variant ofJap),English,172 sightings(Recent),Extremely offensive
Japs(plural ofJap),English,"1,230 sightings(Recent)",Mildly offensive
Jerries(plural ofJerry),English,-,-
Jerry,English,-,Highly offensive
Jewbacca,English,62 sightings(Recent),Extremely offensive
Jihadi,English,"1,588 sightings(Recent)",Highly offensive
JihadiVirus,English,7 sightings,Extremely offensive
Jihadis(plural ofJihadi),English,-,Highly offensive
Jim Fish,English,25 sightings(Recent),Extremely offensive
Jits(plural ofjit),English,173 sightings(Recent),Moderately offensive
Junior Mint,English,-,Highly offensive
Kushi(variant ofCushite),English,82 sightings(Recent),Extremely offensive
Kushis(plural ofKushi),English,26 sightings(Recent),-
Kushite(variant ofCushite),English,720 sightings(Recent),Highly offensive
Kushites(plural ofKushite),English,411 sightings(Recent),-
Leb,English,38 sightings,Extremely offensive
Lebbo(variant ofLeb),English,82 sightings(Recent),Extremely offensive
Lebbos(plural ofLebbo),English,21 sightings,-
Lebs(plural ofLeb),English,115 sightings(Recent),-
MTN,English,-,Highly offensive
MTNs(plural ofMTN),English,-,-
Madrasi,English,-,Highly offensive
Masshole,English,509 sightings(Recent),-
Massholes(plural ofMasshole),English,744 sightings(Recent),-
Merkin,English,-,Highly offensive
Merkins(plural ofMerkin),English,347 sightings(Recent),-
Mickey Finn(variant ofmick),English,-,Moderately offensive
Mickey Finns(plural ofMickey Finn),English,-,-
Moor,English,-,Extremely offensive
Moors(plural ofMoor),English,-,-
Northern monkey,English,232 sightings(Recent),Highly offensive
Northern monkeys(plural ofNorthern monkey),English,491 sightings(Recent),-
Okie,English,-,-
Okies(plural ofOkie),English,-,-
Orangie,English,-,Highly offensive
Orangies(plural ofOrangie),English,169 sightings(Recent),-
Oreo,English,-,Extremely offensive
Oreos(plural ofOreo),English,-,-
Oriental,English,299 sightings(Recent),Extremely offensive
Orientals(plural ofOriental),English,360 sightings(Recent),-
Osama,English,-,Extremely offensive
Osamas(plural ofOsama),English,217 sightings(Recent),-
Paedo,English,-,Extremely offensive
Pakiland(variant ofpaki),English,"1,803 sightings(Recent)",Extremely offensive
Palestinkian,English,5 sightings,Mildly offensive
Pepper,English,-,Highly offensive
Peppers(plural ofPepper),English,-,-
Pepsi(variant ofPepper),English,-,Highly offensive
Pepsis(plural ofPepsi),English,-,-
Punjab,English,-,Moderately offensive
QuranoVirus,English,1 sighting,-
Rhine monkey,English,1 sighting,Moderately offensive
Rhine monkeys(plural ofRhine monkey),English,-,Mildly offensive
Rhineland bastard(variant ofRhine monkey),English,8 sightings,Extremely offensive
Rhineland bastards(plural ofRhineland bastard),English,117 sightings(Recent),Extremely offensive
Rico Suave,English,247 sightings(Recent),Moderately offensive
Russellite,English,3 sightings,Extremely offensive
Russellites(plural ofRussellite),English,6 sightings,-
Shelta,English,-,Highly offensive
Sheltas(plural ofShelta),English,3 sightings,-
Shy(variant ofShylock),English,-,Highly offensive
Shylock,English,684 sightings(Recent),Highly offensive
Skip,English,-,Mildly offensive
Skippies(plural ofSkippy),English,-,-
Skippy(variant ofSkip),English,-,Mildly offensive
Skips(plural ofSkip),English,-,-
Sloane Ranger,English,172 sightings(Recent),-
Sloane Rangers(plural ofSloane Ranger),English,42 sightings,-
Southern fairies(plural ofSouthern fairy),English,347 sightings(Recent),-
Southern fairy,English,320 sightings(Recent),Highly offensive
Taffy,English,-,Highly offensive
Taffys(plural ofTaffy),English,-,-
Tommies(plural ofTommy),English,-,-
Tommy,English,-,Extremely offensive
Twinkie,English,-,Extremely offensive
Twinkies(plural ofTwinkie),English,-,-
Ubangee(variant ofUbangi),English,2 sightings,Highly offensive
Ubangees(plural ofUbangee),English,-,-
Ubangi,English,-,Highly offensive
Ubangis(plural ofUbangi),English,69 sightings(Recent),-
Uncle Tom,English,"1,875 sightings(Recent)",Highly offensive
Uncle Toms(plural ofUncle Tom),English,"1,952 sightings(Recent)",Extremely offensive
Velcro head,English,-,Extremely offensive
Velcro heads(plural ofVelcro head),English,11 sightings(Recent),-
WASP,English,-,Mildly offensive
WASPs(plural ofWASP),English,-,Mildly offensive
WASPy(variant ofWASP),English,338 sightings(Recent),Mildly offensive
WIC,English,-,Extremely offensive
WICs(plural ofWIC),English,5 sightings,-
Yank,English,-,Highly offensive
Yankee(variant ofYank),English,-,Highly offensive
Yankees(plural ofYankee),English,-,-
Yanks(plural ofYank),English,-,-
ZOG,English,686 sightings(Recent),Extremely offensive
ZOG lover,English,5 sightings,Extremely offensive
ZOG lovers(plural ofZOG lover),English,3 sightings,-
Zio,English,64 sightings(Recent),Highly offensive
Zionazi,English,"2,944 sightings(Recent)",Extremely offensive
Zionazis(plural ofZionazi),English,"1,171 sightings(Recent)",-
abbo(variant ofabo),English,-,Extremely offensive
abbos(plural ofabbo),English,109 sightings(Recent),Extremely offensive
abo,English,-,Highly offensive
abos(plural ofabo),English,82 sightings(Recent),Highly offensive
af,English,-,Extremely offensive
african't,English,-,Highly offensive
african'ts(plural ofafrican't),English,-,Highly offensive
afs(plural ofaf),English,-,Extremely offensive
albino,English,1 sighting,Mildly offensive
albinos(plural ofalbino),English,-,-
albo,English,-,-
alboes(variant ofalbos)  (plural ofalbo),English,-,-
albos(plural ofalbo),English,-,-
alligator bait,English,751 sightings(Recent),Highly offensive
anchor babies(plural ofanchor baby),English,"2,726 sightings(Recent)",Moderately offensive
anchor baby,English,"1,586 sightings(Recent)",Highly offensive
ape,English,1 sighting,Extremely offensive
apes(plural ofape),English,-,Extremely offensive
apple,English,-,Highly offensive
apples(plural ofapple),English,-,-
ars(transliteration ofערס‎ `ars),English,-,Moderately offensive
arsim(plural ofars),English,102 sightings(Recent),-
arsit(variant ofars),English,16 sightings(Recent),-
azn,English,-,Mildly offensive
azns(plural ofazn),English,412 sightings(Recent),-
bamboo coon,English,11 sightings,Extremely offensive
bamboo coons(plural ofbamboo coon),English,1 sighting,-
ban and can(variant ofbans and cans),English,-,-
banana,English,-,Highly offensive
banana bender,English,443 sightings(Recent),Mildly offensive
banana benders(plural ofbanana bender),English,492 sightings(Recent),Mildly offensive
banana lander(variant ofbanana bender),English,1 sighting,Mildly offensive
banana landers(plural ofbanana lander),English,-,-
bananas(plural ofbanana),English,-,-
banislam,English,-,-
banjo lips,English,30 sightings,Extremely offensive
bans and cans,English,1 sighting,Moderately offensive
batiman(variant ofbatty boy),English,140 sightings(Recent),-
batimen(plural ofbatiman),English,9 sightings,-
batty boy,English,"1,210 sightings(Recent)",-
batty boys(plural ofbatty boy),English,770 sightings(Recent),-
batty bwoy(variant ofbatty boy),English,588 sightings(Recent),-
batty bwoys(plural ofbatty bwoy),English,81 sightings(Recent),-
batty man(variant ofbatty boy),English,780 sightings(Recent),-
batty men(plural ofbatty man),English,135 sightings(Recent),-
battyman(variant ofbatty boy),English,"1,209 sightings(Recent)",-
battymen(plural ofbattyman),English,257 sightings(Recent),-
beach nigger,English,23 sightings,Highly offensive
beach niggers(plural ofbeach nigger),English,3 sightings,-
bean bandit,English,77 sightings(Recent),Highly offensive
bean bandits(plural ofbean bandit),English,21 sightings,Highly offensive
bean dipper,English,14 sightings,Moderately offensive
bean dippers(plural ofbean dipper),English,2 sightings,Mildly offensive
beaner,English,"1,659 sightings(Recent)",Highly offensive
beaner babies(variant ofanchor baby),English,118 sightings(Recent),Extremely offensive
beaner baby(variant ofanchor babies),English,220 sightings(Recent),Extremely offensive
beaner shnitzel,English,1 sighting(Recent),Extremely offensive
beaner shnitzels(plural ofbeaner shnitzel),English,-,-
beaners(plural ofbeaner),English,"1,623 sightings(Recent)",Extremely offensive
beaney(variant ofbeaner),English,-,Highly offensive
beanies(plural ofbeaney),English,-,-
bhrempti,English,-,Mildly offensive
bhremptis(plural ofbhrempti),English,-,-
bimbo,English,356 sightings(Recent),Mildly offensive
bint(variant ofbitch),English,300 sightings(Recent),Mildly offensive
bints(plural ofbint),English,918 sightings(Recent),Mildly offensive
bird,English,-,Mildly offensive
birds(plural ofbird),English,-,Mildly offensive
bitch,English,"2,428 sightings(Recent)",Moderately offensive
bitches(plural ofbitch),English,"2,626 sightings(Recent)",Moderately offensive
bix nood,English,300 sightings(Recent),-
bix noods(plural ofbix nood),English,13 sightings(Recent),-
black Barbie,English,-,Mildly offensive
black Barbies(plural ofblack Barbie),English,-,-
black dago,English,13 sightings,Highly offensive
black dagoes(variant ofblack dagos)  (plural ofblack dago),English,-,-
black dagos(plural ofblack dago),English,-,-
black invader,English,58 sightings(Recent),Highly offensive
black invaders(plural ofblack invader),English,39 sightings(Recent),-
blaxican,English,113 sightings(Recent),Mildly offensive
blaxicans(plural ofblaxican),English,313 sightings(Recent),Mildly offensive
blockhead,English,-,Moderately offensive
blockheads(plural ofblockhead),English,-,-
bludger,English,"1,639 sightings(Recent)",Mildly offensive
bludgers(plural ofbludger),English,-,-
blue gum,English,178 sightings(Recent),Highly offensive
blue gums(plural ofblue gum),English,202 sightings(Recent),Mildly offensive
bluegum,English,240 sightings(Recent),Highly offensive
bluegums(plural ofbluegum),English,52 sightings(Recent),-
bog hopper(variant ofBog Irish),English,21 sightings,Highly offensive
bog hoppers(plural ofbog hopper),English,31 sightings,-
bog jumper(variant ofBog Irish),English,22 sightings,Mildly offensive
bog jumpers(plural ofbog jumper),English,8 sightings(Recent),Mildly offensive
bog trotter(variant ofBog Irish),English,785 sightings(Recent),Highly offensive
bog trotters(plural ofbog trotter),English,530 sightings(Recent),Extremely offensive
bogan,English,"2,137 sightings(Recent)",Highly offensive
bogans(plural ofbogan),English,"1,106 sightings(Recent)",Highly offensive
bohunk,English,737 sightings(Recent),Highly offensive
bohunks(plural ofbohunk),English,132 sightings(Recent),-
bong(variant ofboong),English,-,Extremely offensive
bongs(plural ofbong),English,-,-
boo(variant ofjigaboo),English,-,Highly offensive
boogat,English,-,-
boogats(plural ofboogat),English,-,-
boojie,English,-,Highly offensive
boojies(plural ofboojie),English,13 sightings(Recent),-
book book,English,-,Highly offensive
book books(plural ofbook book),English,-,-
boon(variant ofbooner),English,-,Highly offensive
booner,English,500 sightings(Recent),Highly offensive
booners(plural ofbooner),English,145 sightings(Recent),-
boong,English,135 sightings(Recent),Extremely offensive
boonga(variant ofboong),English,-,Extremely offensive
boongas(plural ofboonga),English,67 sightings,-
boongs(plural ofboong),English,77 sightings(Recent),-
boonie(variant ofboong),English,241 sightings(Recent),Highly offensive
boonies(plural ofboonie),English,-,Mildly offensive
boons(plural ofboon),English,-,-
boos(plural ofboo),English,-,-
bootlip,English,52 sightings(Recent),Extremely offensive
bootlips(plural ofbootlip),English,24 sightings,Extremely offensive
border babies(variant ofanchor baby)  (plural ofborder baby),English,25 sightings,-
border baby(variant ofanchor baby),English,58 sightings(Recent),-
border bandit(variant ofborder jumpers),English,36 sightings(Recent),-
border bandito(variant ofborder bandits),English,-,-
border banditoes(variant ofborder banditos),English,-,-
border banditos(plural ofborder bandito),English,-,-
border bandits(plural ofborder bandit),English,57 sightings,-
border bunnies(plural ofborder bunny),English,156 sightings(Recent),-
border bunny(variant ofwetback),English,320 sightings(Recent),Extremely offensive
border hopper(variant ofwetback),English,"2,824 sightings(Recent)",Extremely offensive
border hoppers(plural ofborder hopper),English,"2,242 sightings(Recent)",-
border jumper(variant ofwetback),English,"3,422 sightings(Recent)",Highly offensive
border jumpers(plural ofborder jumper),English,"3,051 sightings(Recent)",-
border nigger(variant ofwetback),English,9 sightings,Extremely offensive
border niggers(plural ofborder nigger),English,-,Extremely offensive
boujee,English,-,-
boujees(plural ofboujee),English,-,-
boxhead,English,-,Moderately offensive
boxheads(plural ofboxhead),English,-,-
brass ankle,English,3 sightings,Highly offensive
brass ankles(plural ofbrass ankle),English,2 sightings,-
brown invader(variant ofblack invader),English,38 sightings(Recent),Highly offensive
brown invaders(plural ofbrown invader),English,295 sightings(Recent),Highly offensive
brownie,English,-,Extremely offensive
brownies(plural ofbrownie),English,-,-
bubble,English,-,Moderately offensive
bubbles(plural ofbubble),English,-,-
buck,English,-,Moderately offensive
bucker(variant ofbuck),English,-,-
buckers(variant ofbuck)  (plural ofbucker),English,-,-
buckethead,English,1 sighting,Highly offensive
bucketheads(plural ofbuckethead),English,-,-
buckra,English,396 sightings(Recent),Highly offensive
buckras(plural ofbuckra),English,175 sightings(Recent),-
buckrette(variant ofbuckra),English,1 sighting,-
buckrettes(plural ofbuckrette),English,-,-
bucks(plural ofbuck),English,-,Moderately offensive
buffie,English,-,Highly offensive
buffies(plural ofbuffie),English,-,-
buffy(variant ofbuffie),English,-,-
bug eater,English,-,Highly offensive
bug eaters(plural ofbug eater),English,449 sightings(Recent),-
buk buk(variant ofbook book),English,3 sightings,Moderately offensive
buk buks(plural ofbuk buk),English,5 sightings,Moderately offensive
bull dyke(variant ofdyke),English,"2,509 sightings(Recent)",-
bull dykes(plural ofbull dyke),English,"1,119 sightings(Recent)",-
bumblebee,English,-,Highly offensive
bumblebees(plural ofbumblebee),English,-,Moderately offensive
bung(variant ofboong),English,-,Extremely offensive
bunga(variant ofboong),English,-,Extremely offensive
bungas(plural ofbunga),English,179 sightings(Recent),-
bungs(plural ofbung),English,-,-
burrhead,English,50 sightings,Highly offensive
burrheads(plural ofburrhead),English,6 sightings,Highly offensive
bush bandit,English,21 sightings(Recent),Extremely offensive
bush bandits(plural ofbush bandit),English,16 sightings(Recent),-
bushnigger,English,-,Highly offensive
bushniggers(plural ofbushnigger),English,-,Highly offensive
bushniglet(variant ofbushnigger),English,-,-
bushniglets(plural ofbushniglet),English,-,-
butt pirate,English,"2,678 sightings(Recent)",Highly offensive
butt pirates(plural ofbutt pirate),English,"2,074 sightings(Recent)",Moderately offensive
butterhead,English,-,Highly offensive
butterheads(plural ofbutterhead),English,117 sightings(Recent),Highly offensive
cab nigger,English,1 sighting,Extremely offensive
cab niggers(plural ofcab nigger),English,1 sighting,Highly offensive
cairo coon(variant ofsand nigger),English,6 sightings,-
cairo coons(plural ofcairo coon),English,1 sighting,-
camel cowboy(variant ofcamel jockey),English,18 sightings(Recent),Extremely offensive
camel cowboys(plural ofcamel cowboy),English,9 sightings,-
camel fucker,English,"1,206 sightings",Extremely offensive
camel fuckers(plural ofcamel fucker),English,459 sightings,Extremely offensive
camel humper(variant ofcamel jockey),English,460 sightings(Recent),Extremely offensive
camel humpers(plural ofcamel humper),English,243 sightings(Recent),Extremely offensive
camel jacker(variant ofcamel jockey),English,2 sightings,Extremely offensive
camel jackers(plural ofcamel jacker),English,2 sightings,-
camel jockey,English,"3,640 sightings(Recent)",Highly offensive
camel jockeys(plural ofcamel jockey),English,"1,780 sightings(Recent)",Moderately offensive
can and ban(variant ofbans and cans),English,-,-
can eater,English,-,Extremely offensive
can eaters(plural ofcan eater),English,1 sighting,-
canigger,English,8 sightings,Extremely offensive
caniggers(plural ofcanigger),English,-,-
canigglet(variant ofcanigger),English,-,Mildly offensive
canniglets(plural ofcanigglet),English,-,Mildly offensive
cans and bans(plural ofcan and ban),English,-,-
carpet pilot,English,50 sightings(Recent),Highly offensive
carpet pilots(plural ofcarpet pilot),English,28 sightings(Recent),-
carrot snap(variant ofcarrot snapper),English,4 sightings,-
carrot snapper,English,9 sightings,Highly offensive
carrot snappers(plural ofcarrot snapper),English,11 sightings,-
carrot snaps(variant ofcarrot snapper)  (plural ofcarrot snap),English,4 sightings,-
cave nigger,English,20 sightings,Extremely offensive
cave niggers(plural ofcave nigger),English,7 sightings,Extremely offensive
celestial,English,-,Mildly offensive
celestials(plural ofcelestial),English,-,-
charva,English,"1,145 sightings(Recent)",Moderately offensive
charvas(plural ofcharva),English,214 sightings(Recent),Mildly offensive
charver(variant ofcharva),English,541 sightings(Recent),Highly offensive
charvers(plural ofcharver),English,124 sightings(Recent),-
chav,English,773 sightings(Recent),Mildly offensive
chavette(variant ofchav),English,241 sightings(Recent),-
chavettes(plural ofchavette),English,66 sightings(Recent),-
chavs(plural ofchav),English,485 sightings(Recent),-
chee chee,English,-,Highly offensive
chee chees(plural ofchee chee),English,36 sightings(Recent),-
chi chi bwoy(variant ofchi chi man),English,60 sightings(Recent),-
chi chi bwoys(plural ofchi chi bwoy),English,4 sightings,-
chi chi man,English,30 sightings(Recent),-
chi chi men(plural ofchi chi man),English,5 sightings,-
chi chi(variant ofchee chee),English,4 sightings,Extremely offensive
chi chis(plural ofchi chi),English,-,-
chief,English,-,Extremely offensive
chigger,English,-,Highly offensive
chiggers(plural ofchigger),English,-,-
chili shitter,English,4 sightings,Highly offensive
chili shitters(plural ofchili shitter),English,5 sightings(Recent),-
chimp pack,English,9 sightings(Recent),Extremely offensive
chimp packs(plural ofchimp pack),English,-,-
chimp-out,English,174 sightings(Recent),Extremely offensive
chimp-outs(plural ofchimp pack),English,37 sightings(Recent),-
chimped-out(variant ofchimp-out),English,14 sightings(Recent),Extremely offensive
ching chong,English,628 sightings(Recent),Highly offensive
ching chongs(plural ofching chong),English,"2,197 sightings(Recent)",Highly offensive
chinig,English,15 sightings,Extremely offensive
chinigs(plural ofchinig),English,-,Extremely offensive
chink,English,489 sightings(Recent),Extremely offensive
chink a billies(plural ofchink a billy),English,-,-
chink a billy,English,-,Extremely offensive
chinks(plural ofchink),English,809 sightings(Recent),Extremely offensive
cholo chaser,English,2 sightings,Highly offensive
cholo chasers(plural ofcholo chaser),English,-,-
cholo chasing(variant ofcholo chaser),English,-,Extremely offensive
chonkies(plural ofchonky),English,184 sightings(Recent),Moderately offensive
chonky,English,"1,024 sightings(Recent)",Moderately offensive
chug,English,1 sighting,Highly offensive
chugs(plural ofchug),English,-,Highly offensive
chunkies(plural ofchunky),English,-,-
chunky(variant ofchonky),English,-,Extremely offensive
clam(variant ofclamhead),English,-,Highly offensive
clamhead,English,-,Highly offensive
clamheads(plural ofclamhead),English,7 sightings,Moderately offensive
clams(plural ofclam),English,-,-
clog wog,English,41 sightings(Recent),Moderately offensive
clog wogs(plural ofclog wog),English,6 sightings,Moderately offensive
closet dyke(variant ofcloset fag),English,117 sightings(Recent),Moderately offensive
closet dykes(variant ofcloset fag)  (plural ofcloset dyke),English,28 sightings(Recent),-
closet fag,English,457 sightings(Recent),Extremely offensive
closet fags(plural ofcloset fag),English,261 sightings(Recent),-
closetfag(variant ofcloset fag),English,14 sightings(Recent),Highly offensive
closetfags(plural ofclosetfag),English,12 sightings,-
cock tease,English,282 sightings(Recent),-
cocksucker,English,-,Highly offensive
cocksuckers(plural ofcocksucker),English,-,-
cocoa,English,-,Highly offensive
cocoas(plural ofcocoa),English,-,-
coconut,English,-,Highly offensive
coconuts(plural ofcoconut),English,-,-
cohee,English,-,-
cohees(plural ofcohee),English,-,-
colored,English,-,Extremely offensive
coloreds(plural ofcolored),English,"1,317 sightings(Recent)",-
coloured(variant ofcolored),English,-,Extremely offensive
coloureds(plural ofcoloured),English,649 sightings(Recent),-
conchuda(variant ofcunt),English,133 sightings(Recent),Extremely offensive
conchudas(plural ofconchuda),English,80 sightings(Recent),-
coolie,English,607 sightings(Recent),Extremely offensive
coolies(plural ofcoolie),English,694 sightings(Recent),-
coon,English,"1,252 sightings(Recent)",Extremely offensive
coon ass,English,"4,891 sightings(Recent)",Highly offensive
coonadian,English,29 sightings,Extremely offensive
coonadians(plural ofcoonadian),English,3 sightings,-
coons(plural ofcoon),English,756 sightings(Recent),-
cotton picker,English,"6,394 sightings(Recent)",Highly offensive
cotton pickers(plural ofcotton picker),English,683 sightings(Recent),-
cow kisser,English,34 sightings,Highly offensive
cow kissers(plural ofcow kisser),English,10 sightings,Highly offensive
cowboy killer,English,"1,616 sightings(Recent)",Highly offensive
cowboy killers(plural ofcowboy killer),English,"2,727 sightings(Recent)",-
cracker,English,"1,513 sightings(Recent)",Mildly offensive
crackers(plural ofcracker),English,-,Extremely offensive
cripple,English,"1,654 sightings(Recent)",Highly offensive
cripples(plural ofcripple),English,"1,281 sightings(Recent)",Highly offensive
crow,English,-,Highly offensive
croweater,English,128 sightings(Recent),-
croweaters(plural ofcroweater),English,118 sightings(Recent),-
crows(plural ofcrow),English,-,-
culchie,English,749 sightings(Recent),-
culchies(plural ofculchie),English,962 sightings(Recent),-
cunt,English,2 sightings,Extremely offensive
cunter(variant ofcunt),English,-,Highly offensive
cunts(plural ofcunt),English,"1,432 sightings(Recent)",Extremely offensive
curry muncher,English,"6,366 sightings(Recent)",Highly offensive
curry munchers(plural ofcurry muncher),English,"3,988 sightings(Recent)",Moderately offensive
curry slurper(variant ofcurry muncher),English,-,Extremely offensive
curry slurpers(plural ofcurry slurper),English,-,-
curry stinker(variant ofcurry muncher),English,137 sightings(Recent),Extremely offensive
curry stinkers(plural ofcurry stinker),English,16 sightings(Recent),Extremely offensive
da goyim know(variant ofthe goyim know),English,4 sightings,-
dagette(variant ofdago),English,-,-
dagettes(variant ofdago)  (plural ofdagette),English,-,-
dago,English,77 sightings(Recent),Highly offensive
dagos(plural ofdago),English,154 sightings(Recent),-
dagowop,English,2 sightings,Extremely offensive
dagowops(plural ofdagowop),English,1 sighting,Extremely offensive
darkey(variant ofdarky),English,124 sightings,Extremely offensive
darkie(variant ofdarky),English,"3,402 sightings(Recent)",Highly offensive
darkies(plural ofdarkie),English,"2,771 sightings(Recent)",Highly offensive
darky,English,"1,069 sightings(Recent)",Extremely offensive
degette(variant ofdago),English,15 sightings(Recent),-
degettes(variant ofdago)  (plural ofdegette),English,1 sighting,-
dego(variant ofdago),English,-,Highly offensive
degos(plural ofdego),English,114 sightings(Recent),-
deminigger(variant ofseminiggers),English,-,Extremely offensive
deminiggers(plural ofdeminigger),English,-,-
derka derka,English,57 sightings(Recent),Highly offensive
derka derkas(plural ofderka derka),English,11 sightings(Recent),-
dhimmi,English,"1,603 sightings(Recent)",Extremely offensive
dhimmis(plural ofdhimmi),English,481 sightings(Recent),Extremely offensive
diaper head(variant ofraghead),English,249 sightings(Recent),Extremely offensive
diaper heads(plural ofdiaper head),English,354 sightings(Recent),-
dindu nuffin,English,"3,699 sightings(Recent)",Extremely offensive
dindu(variant ofdindu nuffin),English,"1,701 sightings(Recent)",Extremely offensive
dinge,English,12 sightings,Highly offensive
dinges(plural ofdinge),English,115 sightings(Recent),Highly offensive
